Ticker,Buy Date,Buy Price,% Below 100-day MA,Sell Price,Sell Date,% Gain,Trading Days Held
WST,2025-02-13,198.7489776611328,39.44009407224273,221.79710388183597,2025-03-28,11.596601145793176,30
TTD,2025-02-13,81.91999816894531,33.59413801148708,55.84999847412109,2025-03-28,-31.823730807536794,30
XYZ,2025-03-10,54.7400016784668,32.398719596469746,54.33000183105469,2025-04-22,-0.748994948557687,30
VST,2025-03-10,108.1657485961914,30.464670465286503,112.4874267578125,2025-04-22,3.9954220422908096,30
COIN,2025-03-10,179.22999572753906,31.22969429540321,190.0,2025-04-22,6.009041192431443,30
TSLA,2025-03-10,222.1499938964844,39.55829139225017,237.97000122070312,2025-04-22,7.121317919815202,30
DECK,2025-03-10,121.11000061035156,32.38203257032248,106.41999816894533,2025-04-22,-12.129471032428222,30
TTD,2025-03-31,54.720001220703125,35.24719998440211,56.459999084472656,2025-05-07,3.1798205865375766,26
DAL,2025-04-03,38.461082458496094,31.967394261702804,48.227874755859375,2025-05-08,25.393961045955393,24
UAL,2025-04-03,60.22999954223633,33.2978950405205,74.86000061035156,2025-05-05,24.290222778195332,21
NCLH,2025-04-04,15.6899995803833,31.799215573272505,19.149999618530277,2025-05-12,22.05226342053509,25
MU,2025-04-04,64.65914154052734,30.692770532333064,85.06993103027344,2025-05-08,31.566749887876146,23
MCHP,2025-04-04,35.941856384277344,33.09169709974028,48.762638092041016,2025-05-08,35.67089459901155,23
TER,2025-04-04,68.61559295654297,33.0923981592971,82.93379974365234,2025-05-12,20.86727836947744,25
EPAM,2025-04-04,144.6699981689453,32.00441130340291,179.7100067138672,2025-05-08,24.22064629046461,23
CEG,2025-04-04,170.7267608642578,33.12606143092814,226.14105224609372,2025-04-29,32.457882467467975,16
WDC,2025-04-04,30.483203887939453,33.841692557787525,43.7784309387207,2025-04-30,43.61492676313282,17
ANET,2025-04-04,64.37000274658203,31.877683781580718,82.2699966430664,2025-04-30,27.807974417765337,17
HPE,2025-04-04,12.697111129760742,31.05325549937023,16.290821075439453,2025-05-01,28.303366875756637,18
ALB,2025-04-08,50.43096923828125,33.14962129688787,56.07415008544922,2025-05-21,11.189911541268437,30
ZBRA,2025-04-08,213.5399932861328,31.396387714045815,265.3699951171875,2025-05-08,24.271800815131197,21
ON,2025-04-08,31.950000762939453,31.178430763526855,41.90999984741211,2025-05-02,31.17370531028532,17
GEHC,2025-04-08,58.69257354736328,30.21421663110878,74.07621002197266,2025-05-12,26.21053319836999,23
APA,2025-04-08,13.618176460266112,32.52212306685277,17.471961975097656,2025-05-12,28.29883667667087,23
SWK,2025-04-08,55.14373397827149,31.73601387464149,71.59998321533203,2025-05-12,29.842464501125114,23
CRL,2025-04-10,99.9499969482422,37.337389455978055,143.0800018310547,2025-05-12,43.1515819906896,21
UNH,2025-05-13,309.1851501464844,35.02631646139921,302.6199951171875,2025-06-26,-2.123373333482046,30
CNC,2025-07-02,33.779998779296875,40.954587041880465,26.209999084472656,2025-08-04,-22.409709793902447,22
MOH,2025-07-18,182.97999572753903,35.713935942090316,158.14999389648438,2025-08-04,-13.569790365514622,11
CHTR,2025-07-31,269.3599853515625,30.28899248299744,261.75,2025-08-04,-2.8252100406191074,2
ALGN,2025-07-31,129.00999450683594,31.127597247383125,137.77000427246094,2025-08-04,6.790179163336704,2
