Ticker,Buy Date,Buy Price,% Below 100-day MA,Sell Price,Sell Date,% Gain,Trading Days Held
CAG,2019-01-02,16.39809799194336,32.169429388808084,18.419767379760746,2019-02-14,12.328682197232045,30
PCG,2019-01-07,18.822481155395508,38.23537799330221,17.620620727539062,2019-02-19,-6.385239108139201,29
BIIB,2019-03-21,226.8800048828125,30.243568060066277,231.17999267578125,2019-05-03,1.8952696140806982,30
VTRS,2019-05-30,14.392513275146484,31.006010534977875,16.073450088500977,2019-07-12,11.679244487876868,30
MRNA,2019-06-10,15.670000076293944,32.5876532624365,13.600000381469728,2019-07-23,-13.20995331682081,30
ALGN,2019-07-25,200.8999938964844,30.931393245266296,175.05999755859375,2019-09-06,-12.862119025849722,30
TPR,2019-08-15,16.574222564697266,34.278556555387304,21.955730438232425,2019-09-25,32.46914208210076,28
PCG,2019-08-19,10.598196983337402,44.40681541807984,9.833378791809082,2019-10-01,-7.2164934538466845,30
ULTA,2019-08-30,237.72999572753903,30.315194129420718,246.57000732421875,2019-10-14,3.718509130337596,30
CRWD,2019-09-27,53.459999084472656,35.168567987920966,47.209999084472656,2019-11-08,-11.69098411341967,30
PCG,2019-10-02,8.899704933166504,32.63157498676211,6.8734331130981445,2019-11-13,-22.76785393768571,30
